Year	Month	Q_ac_ft_per_month	Q_cms
1987	3	1016769	477.1323322
1987	4	2161718	1014.414829
1987	5	3708378	1740.205537
1987	6	3044527	1428.684655
1987	7	1354813	635.7639606
1987	8	989927	464.5363679
1987	9	572968	268.8728297
1987	10	498469	233.9131863
1987	11	609293	285.9188175
1987	12	327295	153.5875176
1988	1	307806	144.442046
1988	2	451527	211.8850305
1988	3	731963	343.4833412
1988	4	1224856	574.7799155
1988	5	2202913	1033.746129
1988	6	2756571	1293.557485
1988	7	1285309	603.1482872
1988	8	791840	371.5814172
1988	9	480968	225.70061
1988	10	410073	192.4321915
1988	11	283487	133.0300328
1988	12	261152	122.549038
1989	1	222003	104.1778508
1989	2	360639	169.2346316
1989	3	872629	409.4927264
1989	4	1291130	605.8798686
1989	5	1780594	835.5673393
1989	6	1906227	894.52229
1989	7	1073067	503.5509151
1989	8	744386	349.3129986
1989	9	346845	162.7616143
1989	10	304804	143.0333177
1989	11	326295	153.1182543
1989	12	245558	115.2313468
1990	1	266046	124.8456124
1990	2	267742	125.6414829
1990	3	427332	200.531206
1990	4	693040	325.2182074
1990	5	1309993	614.7315814
1990	6	2636518	1237.221023
1990	7	1326354	622.4091976
1990	8	645994	303.1412482
1990	9	524335	246.0511497
1990	10	578174	271.3158142
1990	11	430359	201.9516659
1990	12	245004	114.9713749
1991	1	308190	144.6222431
1991	2	386858	181.538245
1991	3	534880	250.9995307
1991	4	945693	443.778977
1991	5	2363462	1109.085875
1991	6	3433682	1611.300798
1991	7	1438152	674.8718911
1991	8	910553	427.2890662
1991	9	769594	361.1421868
1991	10	325417	152.7062412
1991	11	549344	257.7869545
1991	12	356655	167.3650868
1992	1	307263	144.187236
1992	2	465833	218.5983107
1992	3	678165	318.2379165
1992	4	1244864	584.1689348
1992	5	2496009	1171.285312
1992	6	2061844	967.5476302
1992	7	1224167	574.4565931
1992	8	815534	382.7001408
1992	9	543435	255.0140779
1992	10	367263	172.3430314
1992	11	426222	200.0103238
1992	12	285728	134.0816518
1993	1	537159	252.0689817
1993	2	492596	231.1572032
1993	3	1001611	470.0192398
1993	4	1559826	731.9690286
1993	5	4906068	2302.237447
1993	6	5082810	2385.175974
1993	7	2295303	1077.101361
1993	8	1091852	512.3660253
1993	9	651090	305.5326138
1993	10	538432	252.6663538
1993	11	412416	193.5316753
1993	12	346891	162.7832004
1994	1	375164	176.0506804
1994	2	355563	166.8526513
1994	3	708032	332.2534022
1994	4	927922	435.4396997
1994	5	2498768	1172.580009
1994	6	2425265	1138.087752
1994	7	925153	434.1403097
1994	8	612132	287.2510558
1994	9	485511	227.832473
1994	10	497466	233.4425153
1994	11	395872	185.768184
1994	12	374202	175.5992492
1995	1	332824	156.1820741
1995	2	435433	204.3327076
1995	3	932264	437.4772407
1995	4	862634	404.8024402
1995	5	2644053	1240.756922
1995	6	6427413	3016.148756
1995	7	4857458	2279.42656
1995	8	1548792	726.7911779
1995	9	564350	264.8287189
1995	10	537662	252.3050211
1995	11	464878	218.1501642
1995	12	380049	178.3430314
1996	1	365854	171.6818395
1996	2	483711	226.9877992
1996	3	523383	245.6044111
1996	4	1218497	571.7958705
1996	5	3562190	1671.60488
1996	6	3603750	1691.107461
1996	7	1810436	849.5710934
1996	8	636451	298.663069
1996	9	466084	218.7160957
1996	10	498177	233.7761614
1996	11	605282	284.0366025
1996	12	442930	207.8507743
1997	1	458291	215.0591272
1997	2	384425	180.3965275
1997	3	1172665	550.2885969
1997	4	1700486	797.9755983
1997	5	4912300	2305.161896
1997	6	6052692	2840.30596
1997	7	2176559	1021.379165
1997	8	1463792	686.903801
1997	9	1317326	618.1726889
1997	10	957047	449.106992
1997	11	636013	298.4575317
1997	12	454378	213.2229
1998	1	493364	231.5175974
1998	2	441149	207.0150164
1998	3	828494	388.7817926
1998	4	1518916	712.7714688
1998	5	3878483	1820.029564
1998	6	3568588	1674.607227
1998	7	2377056	1115.46504
1998	8	1128181	529.4138902
1998	9	686904	322.3388081
1998	10	681440	319.7747536
1998	11	711183	333.7320507
1998	12	389712	182.8775223
1999	1	465858	218.6100422
1999	2	441351	207.1098076
1999	3	663764	311.4800563
1999	4	914504	429.1431253
1999	5	2834474	1330.1145
1999	6	4484917	2104.606757
1999	7	2339725	1097.946973
1999	8	1612581	756.7250117
1999	9	913322	428.5884561
1999	10	460266	215.9859221
1999	11	385793	181.0384796
1999	12	357784	167.894885
2000	1	401041	188.1938057
2000	2	416702	195.5429376
2000	3	554739	260.3186298
2000	4	1213677	569.5340216
2000	5	2690228	1262.425153
2000	6	2185673	1025.65603
2000	7	944249	443.1013609
2000	8	503050	236.0628813
2000	9	428106	200.8944158
2000	10	450706	211.4997654
2000	11	395470	185.5795401
2000	12	350269	164.3683717
2001	1	318401	149.4138902
2001	2	337573	158.4106053
2001	3	656354	308.0028156
2001	4	1002791	470.5729704
2001	5	3038452	1425.833881
2001	6	2229715	1046.323322
2001	7	1031679	484.1290474
2001	8	782142	367.0305021
2001	9	429597	201.5940873
2001	10	279073	130.9587048
2001	11	336873	158.0821211
2001	12	283249	132.9183482
2002	1	278065	130.4856875
2002	2	254800	119.5682778
2002	3	383203	179.8230878
2002	4	622934	292.3200375
2002	5	817517	383.6306898
2002	6	1053311	494.2801502
2002	7	645330	302.8296574
2002	8	387719	181.9422806
2002	9	528662	248.0816518
2002	10	349657	164.0811825
2002	11	414705	194.6058189
2002	12	287582	134.9516659
2003	1	280227	131.5002346
2003	2	269126	126.2909432
2003	3	520580	244.2890662
2003	4	712860	334.5190052
2003	5	2265669	1063.195214
2003	6	2912610	1366.780854
2003	7	1173071	550.4791178
2003	8	595151	279.2824965
2003	9	674011	316.2885969
2003	10	380153	178.3918348
2003	11	416986	195.6762084
2003	12	338359	158.7794463
2004	1	288516	135.3899578
2004	2	318267	149.3510089
2004	3	759000	356.1708118
2004	4	1129750	530.1501642
2004	5	2036507	955.6579071
2004	6	1780992	835.7541061
2004	7	1037940	487.0671046
2004	8	484334	227.2801502
2004	9	472418	221.6884092
2004	10	626942	294.2008447
2004	11	571559	268.2116377
2004	12	422658	198.3378695
2005	1	668291	313.6044111
2005	2	560293	262.9249179
2005	3	715300	335.6640075
2005	4	1773341	832.1637729
2005	5	4160612	1952.422337
2005	6	4337526	2035.441577
2005	7	1932220	906.7198498
2005	8	855593	401.4983576
2005	9	493597	231.6269357
2005	10	738725	346.6564993
2005	11	507515	238.1581417
2005	12	380041	178.3392773
2006	1	398330	186.921633
2006	2	329111	154.4396997
2006	3	542474	254.5631159
2006	4	1536243	720.9023932
2006	5	3232985	1517.12107
2006	6	2496137	1171.345378
2006	7	1149297	539.3228531
2006	8	778747	365.4373534
2006	9	538203	252.5588925
2006	10	1566581	735.1389019
2006	11	578594	271.5129047
2006	12	402943	189.0863444
2007	1	337166	158.2196152
2007	2	456757	214.3392773
2007	3	1012629	475.1895824
2007	4	1190847	558.8207414
2007	5	2545643	1194.576725
2007	6	2125698	997.5119662
2007	7	1053353	494.2998592
2007	8	817153	383.459878
2007	9	480165	225.3237916
2007	10	571720	268.2871891
2007	11	413778	194.1708118
2007	12	412071	193.3697794
2008	1	370897	174.0483341
2008	2	478580	224.5800094
2008	3	742523	348.4387611
2008	4	1365053	640.5692163
2008	5	3583470	1681.590802
2008	6	4803955	2254.319568
2008	7	2221264	1042.357579
2008	8	868376	407.4969498
2008	9	483913	227.0825903
2008	10	436526	204.8456124
2008	11	431277	202.3824496
2008	12	335894	157.6227123
2009	1	386381	181.3144064
2009	2	387078	181.6414829
2009	3	564852	265.0642891
2009	4	1225387	575.0290943
2009	5	4159993	1952.131863
2009	6	3468167	1627.483341
2009	7	1856212	871.0520882
2009	8	640435	300.5326138
2009	9	414780	194.6410136
2009	10	374276	175.6339747
2009	11	399919	187.6672924
2009	12	258059	121.0976068
2010	1	369756	173.5129047
2010	2	368040	172.707649
2010	3	624888	293.2369779
2010	4	1327970	623.167527
2010	5	2173179	1019.793055
2010	6	3753020	1761.154388
2010	7	1252578	587.7888315
2010	8	953773	447.5706241
2010	9	470774	220.9169404
2010	10	555908	260.8671985
2010	11	401952	188.6213046
2010	12	469696	220.4110746
2011	1	310643	145.7733458
2011	2	317380	148.9347724
2011	3	640964	300.7808541
2011	4	1249653	586.4162365
2011	5	3081093	1445.843735
2011	6	6690482	3139.597372
2011	7	4490983	2107.453308
2011	8	1290530	605.5983107
2011	9	707879	332.1816049
2011	10	634606	297.7972783
2011	11	527191	247.3913656
2011	12	361277	169.5340216
2012	1	382809	179.638198
2012	2	385594	180.9450962
2012	3	733463	344.187236
2012	4	1225116	574.901924
2012	5	1355514	636.0929141
2012	6	1075946	504.901924
2012	7	747067	350.5710934
2012	8	635530	298.2308775
2012	9	377941	177.3538245
2012	10	343053	160.982168
2012	11	315224	147.9230408
2012	12	228049	107.0150164
2013	1	215200	100.9854528
2013	2	289115	135.6710465
2013	3	358692	168.3209761
2013	4	545424	255.9474425
2013	5	1964509	921.8718911
2013	6	1963286	921.2979822
2013	7	874250	410.2534022
2013	8	728151	341.6945096
2013	9	1148333	538.8704833
2013	10	648183	304.1684655
2013	11	522870	245.363679
2013	12	338647	158.9145941
2014	1	309201	145.0966682
2014	2	373725	175.3754106
2014	3	561508	263.4950727
2014	4	1266891	594.5053965
2014	5	2930207	1375.03848
2014	6	3929687	1844.057719
2014	7	1526390	716.2787424
2014	8	901724	423.1459409
2014	9	791637	371.4861567
2014	10	879938	412.9225716
2014	11	466308	218.8212107
2014	12	424351	199.1323322
2015	1	409351	192.0933834
2015	2	526124	246.8906617
2015	3	702896	329.8432661
2015	4	849760	398.761145
2015	5	2116846	993.3580479
2015	6	4262118	2000.055373
2015	7	1649736	774.160488
2015	8	669216	314.0384796
2015	9	476480	223.5945565
2015	10	625930	293.7259503
2015	11	443078	207.9202252
2015	12	318052	149.2501173
2016	1	360472	169.1562647
2016	2	447752	210.1135617
2016	3	680511	319.3388081
2016	4	1106703	519.335054
2016	5	2988292	1402.295636
2016	6	3952180	1854.612858
2016	7	1393103	653.7320507
2016	8	648049	304.1055842
2016	9	513692	241.0567809
2016	10	562893	264.1450023
2016	11	429381	201.4927264
2016	12	346689	162.6884092
2017	1	418854	196.5527921
2017	2	602856	282.8981699
2017	3	1314310	616.7573909
2017	4	1916178	899.1919287
2017	5	3205952	1504.435476
2017	6	4478868	2101.768184
2017	7	1862948	874.2130455
2017	8	932397	437.5396527
2017	9	405071	190.0849366
2017	10	555136	260.5049273
2017	11	422356	198.196152
2017	12	305805	143.5030502
2018	1	298240	139.9530737
2018	2	322612	151.3899578
2018	3	453234	212.6860629
2018	4	722095	338.8526513
2018	5	2132352	1000.634444
2018	6	1700990	798.212107
2018	7	864519	405.6870014
2018	8	482174	226.2665415
2018	9	354690	166.4429845
2018	10	454889	213.4626936
2018	11	292258	137.1459409
2018	12	242535	113.812764
